,name,rating,reviews,type,hq,Average Salary,Latitude,Longitude
0,TCS,3.9,(49.4k Reviews),Public,"Mumbai,Maharashtra ",584000,18.940170000000023,72.83489000000003
1,Accenture,4.1,(32.2k Reviews),Public,Dublin ,407000,53.348070000000064,-6.248269999999934
2,Cognizant,3.9,(29.5k Reviews),Private,Teaneck. New Jersey. ,402000,40.887230000000045,-74.01915999999994
3,ICICI Bank,4.0,(34.8k Reviews),Public,"Mumbai,Maharashtra ",147000,18.940170000000023,72.83489000000003
4,HDFC Bank,4.0,(39.7k Reviews),Public,"Mumbai,Maharashtra ",142000,18.940170000000023,72.83489000000003
5,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka ",311000,12.966180000000065,77.58690000000007
6,Infosys,3.9,(28.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka ",348000,12.966180000000065,77.58690000000007
7,Capgemini,3.9,(23.9k Reviews),Public,Paris ,284000,48.85717000000005,2.3414000000000215
8,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra ",186000,18.504210000000057,73.85286000000008
9,Genpact,4.0,(21k Reviews),Public,"New York,New York ",130000,40.71455000000003,-74.00713999999994
10,HCLTech,3.8,(18.4k Reviews),Public,Noida ,248000,28.533420000000035,77.38190000000003
11,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington ",107000,47.60357000000005,-122.32944999999995
12,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra ",113000,18.940170000000023,72.83489000000003
13,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York ",171000,41.12203000000005,-73.70923999999997
14,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California ",75000,37.551480000000026,-121.98329999999999
15,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra ",74000,19.032750000000078,73.02960000000007
16,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra ",74000,18.940170000000023,72.83489000000003
17,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat ",62000,23.21667000000008,72.68333000000007
18,HDB Financial Se...,4.0,(13.4k Reviews),Private,"Ahmedabad,Gujrat ",59000,23.02579000000003,72.58727000000005
19,Teleperformance,3.6,(14.4k Reviews),Private,Paris ,59000,48.85717000000005,2.3414000000000215
20,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra ",70000,18.940170000000023,72.83489000000003
21,Reliance Industr...,4.1,(43.6k Reviews),Public,"Navi Mumbai,Maharashtra ",56000,19.032750000000078,73.02960000000007
22,Bharti Airtel,4.1,(12.9k Reviews),Public,"Gurgaon/Gurugram,Haryana ",44000,28.477180000000033,77.06857000000008
