,name,rating,reviews,type,hq,old,employees,Average Salary,Latitude,Longitude
0,TCS,3.9,(49.4k Reviews),Public,"Mumbai,Maharashtra + 272 more",54 years old,1 Lakh+ Employees (India),584000,18.940170000000023,72.83489000000003
1,Accenture,4.1,(32.2k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India),407000,53.348070000000064,-6.248269999999934
2,Cognizant,3.9,(29.5k Reviews),Private,Teaneck. New Jersey. + 97 more,28 years old,1 Lakh+ Employees (India),402000,40.887230000000045,-74.01915999999994
3,ICICI Bank,4.0,(34.8k Reviews),Public,"Mumbai,Maharashtra + 1036 more",28 years old,1 Lakh+ Employees (India),147000,18.940170000000023,72.83489000000003
4,HDFC Bank,4.0,(39.7k Reviews),Public,"Mumbai,Maharashtra + 1207 more",28 years old,1 Lakh+ Employees (India),142000,18.940170000000023,72.83489000000003
5,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 231 more",77 years old,1 Lakh+ Employees (India),311000,12.966180000000065,77.58690000000007
6,Infosys,3.9,(28.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India),348000,12.966180000000065,77.58690000000007
7,Capgemini,3.9,(23.9k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India),284000,48.85717000000005,2.3414000000000215
8,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India),186000,18.504210000000057,73.85286000000008
9,Genpact,4.0,(21k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India),130000,40.71455000000003,-74.00713999999994
10,HCLTech,3.8,(18.4k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India),248000,28.533420000000035,77.38190000000003
11,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 383 more",28 years old,1 Lakh+ Employees (India),107000,47.60357000000005,-122.32944999999995
12,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra + 1068 more",29 years old,1 Lakh+ Employees (India),113000,18.940170000000023,72.83489000000003
13,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India),171000,41.12203000000005,-73.70923999999997
14,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India),75000,37.551480000000026,-121.98329999999999
15,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra + 959 more",15 years old,50k-1 Lakh Employees (India),74000,19.032750000000078,73.02960000000007
16,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra + 522 more",84 years old,10k-50k Employees (India),74000,18.940170000000023,72.83489000000003
17,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India),62000,23.21667000000008,72.68333000000007
18,HDB Financial Se...,4.0,(13.4k Reviews),Private,"Ahmedabad,Gujrat + 770 more",15 years old,1 Lakh+ Employees (India),59000,23.02579000000003,72.58727000000005
19,Teleperformance,3.6,(14.4k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India),59000,48.85717000000005,2.3414000000000215
20,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra + 469 more",19 years old,50k-1 Lakh Employees (India),70000,18.940170000000023,72.83489000000003
21,Reliance Industr...,4.1,(43.6k Reviews),Public,"Navi Mumbai,Maharashtra + 481 more",49 years old,1 Lakh+ Employees (India),56000,19.032750000000078,73.02960000000007
22,Bharti Airtel,4.1,(12.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 509 more",27 years old,10k-50k Employees (India),44000,28.477180000000033,77.06857000000008
23,Deloitte,4.1,(10.3k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India),105000,40.71455000000003,-74.00713999999994
24,Reliance Retail,4.1,(15.5k Reviews),Private,"Navi Mumbai,Maharashtra + 638 more",16 years old,1 Lakh+ Employees (India),46000,19.032750000000078,73.02960000000007
25,Tata Motors,4.1,(12.4k Reviews),Public,"Pune,Maharashtra + 390 more",77 years old,10k-50k Employees (India),37000,18.504210000000057,73.85286000000008
26,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India),40000,18.940170000000023,72.83489000000003
27,Mahindra & Mahin...,3.9,(39.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",77 years old,1 Lakh+ Employees (India),35000,18.940170000000023,72.83489000000003
28,IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 553 more",28 years old,10k-50k Employees (India),48000,28.477180000000033,77.06857000000008
29,BYJU'S,3.5,(11.7k Reviews),Private,"Bangalore,Karnataka + 191 more",11 years old,1k-5k Employees (India),39000,12.966180000000065,77.58690000000007
